precio,ubicacion,titulo,caracteristicas,area,dormitorios,banos,fecha_publicacion,url,website,search_term,scrape_timestamp,Ciudad,Tipo,Inmueble,Pagina,Fecha_Publicacion
"S/ 2,350 S/ 120 Mantenimiento","Rosalia Lavalle De Morales al 100 San Miguel, Lima","San Miguel, Lima",12,110 m² tot.,,,Publicado hoy,"Residencial Rosalía – Departamento con vista al parque (Estreno) Se alquila moderno y amplio departamento de 110 m², ubicado en una zona tranquila, segura y con excelente conexión. El edificio goza de una privilegiada ubicación frente a parque, ideal para quienes buscan comodidad y calidad de vida. Características del departamento: Sala–comedor amplia con buena iluminación natural-02 dormitorios amplios-02 baños completos-Cocina y lavandería de gran tamaño-Ambientes muy ventilados e iluminadosDepartamentos Disponibles: Piso 04: Precio: S/ 2, 350 mensualesCondiciones: -Contrato: Min 01 año-2x1 (2 garantía 1 adelanto) Ubicación y alrededores: A pocos minutos de Plaza San Miguel, Tottus, centros comerciales, Universidades (upc, Católica, San Marcos), restaurantes, cafés, farmacias. De fácil acceso y en un entorno familiar y seguro. Ideal para quienes buscan vivir en un lugar cómodo, bien distribuido y con excelente ubicación.",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hoy
"S/ 2,450 · USD 700","AV Salaverry Jesús María, Lima","Jesús María, Lima",18,59 m² tot.,,,Publicado hace 4 días,"Características del departamentoárea total: 59. 19 m²Piso: 8Antigüedad: 1 añodistribuiciónamplia y luminosa sala–comedorModerna cocina Semi equipada (Encimera y Horno). Dormitorio principal con clóset y baño privado. Dormitorio secundario con clóset. Baño de visita ubicación estratégicavive en el corazón de Jesús María, un distrito seguro, céntrico y de alta valorización: A 2 cuadras de la Universidad del PacíficoA 1 cuadra de la upca 3 cuadras del Real Plaza SalaverryCerca de parques, cafeterías, restaurantes, bancos, supermercados y más el edificioconexión a gas natural (Cálidda) que brinda practicidad, ahorro y seguridad. 3 AscensoresVigilancia 24 /7áreas comuneszona de parrilla perfecta para reuniones y eventos sociales. Área de CoworkingPiscina para disfrutar y relajarte en cualquier momento. Gimnasio equipado, ideal para mantener un estilo de vida saludable sin salir de casaArea de Juego para niños. Sala Zum? precio Y condiciones: Renta mensual: S/ 2, 450. 00 soles2 meses de garantía y 1 mes de adelantoSe requiere sustento de ingresos y no tener reporte negativo en Infocorp R. U. C Ver datos",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 4 días
"S/ 2,400 · USD 700 S/ 140 Mantenimiento","Av. República de Panamá 4075, Surquillo San Borja, Lima","San Borja, Lima",26,65 m² tot.,,,Publicado hace 4 días,"Avenida República de Panamá, a una cuadra cruce con Av Aramburú, a pocas cuadras del Centro Empresarial y Financiero de San Isidro, y a 3 cuadras de Metro de Aramburú. Área total: 65m2 Balcón con vista externa. Distribución: - Sala / Comedor con bastante iluminación natural. - Cocina abierta estilo americana, con muebles bajos y altos, equipada con cocina a gas y campana extractora. - Balcón con vista externa- Zona de lavandería y terma a gas- Habitación Principal (cama queen) con baño incorporado, vista externa y closet empotrado. - Habitación 2 (cama plaza y media) con vista externa y closet empotrado. - Baño completo para 2do dormitorio y visita. Características del Departamento: - Piso 21- Departamento sin amoblar. - Excelente distribución- Iluminación y ventilación natural. - 3 ascensores modernos. - Área de recepción. - Áreas comunes: Gimnasio, Coworking, Sala de juegos para niños, terraza con área de parrilla, Sala de usos múltiples, piscina. - Mantenimiento del edificio S/200. 00 (Agua, seguridad y servicio de limpieza de áreas comunes) Características de la zona: - Av. República de Panamá, cdra 40- A pocas cuadras del centro empresarial de San Isidro. - A dos cuadras de la Av. Aramburú. - A una cuadra de la Facultad de Ciencias de la Comunicación, Turismo y Psicología usmp- Muy cerca a Centro Comerciales, Automercados, Bancos, etc.",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 4 días
"S/ 2,000 S/ 300 Mantenimiento","¡alquiler en Barranco! Gimnasio, Piscina y Estacionamiento Incluido y lo Mejor! Cerca a Todo Barranco, Lima","Barranco, Lima",31,50 m² tot.,,,Publicado hace 5 días,"Ubicado en el vibrante distrito de Barranco, este departamento es una oportunidad que no puedes dejar pasar. Con su mezcla única de historia y modernidad, Barranco ofrece una calidad de vida inigualable. Acceso a una vibrante escena artística y cultural, y la mejor gastronomía de Lima están a solo unos pasos. Características del Departamento: Metraje: 50 m² Distribución: * Cocina americana abierta con mesa de granito y muebles altos y bajos de melamina. Equipada con encimera a gas, horno eléctrico y campana extractora. Todo equipamiento de la marca Teka. Horno microondas Chef Samsung incluido. * Área de lavandería con Terma Solé. * 1 Dormitorio principal con walking closet y baño completo moderno incluido. Ubicado en Segundo Piso con excelente distribución e iluminación. * Acabados: Piso de porcelanato. Estacionamiento: 1 cochera en el sótano 1. Edificio Pet friendly. Áreas Comunes: Piscina descubierta. Área de parrilla. Gimnasio. Sala sum y lavandería. Mantenimiento: S/. 350 (incluye agua, seguridad 24/7, limpieza del edificio y jardinería). Ubicación: A 3 cuadras de la Av. 28 de Julio, Miraflores. A pasos de Plaza Vea El Cortijo. Cerca Parque Felipe Sassone. Cerca del Centro Comercial Paso 28 de Julio, Universidad utec, principales cadenas de panaderías, boticas, renombrados restaurantes y carnicerías.. Fácil acceso a vías principales como la Costa Verde, Vía Expresa, Av. Paseo. De La República y República de Panamá. Si buscas un lugar con un estilo de vida dinámico y todas las comodidades a tu alcance, este departamento en Barranco es para ti. ¡Hazlo tuyo y sé parte de una de las zonas más emblemáticas de Lima! Haz de Barranco tu hogar y disfruta de la mezcla perfecta entre tranquilidad, arte y vida urbana. ¡Contáctenos para más información o para agendar una visita!",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 5 días
"S/ 11,000 · USD 3,200 S/ 1,200 Mantenimiento","AV. DE LOS Precursores 200, URB Bella Vista, Surco Santiago de Surco, Lima","Santiago de Surco, Lima",49,300 m² tot.,,,Publicado hace 5 días,"Penthouse de lujo en Valle Hermoso Oeste – Santiago de SurcoAlquiler y Venta | 300 m² | Dúplex amoblado con piscina y ascensor directoDescubre este espectacular penthouse dúplex de 300 m², ubicado en Valle Hermoso Oeste, Santiago de Surco, una de las zonas residenciales más exclusivas y seguras de Lima. Diseñado con amplios espacios, acabados modernos y una excelente distribución que brinda confort, privacidad y elegancia. Características principales: -Área total: 300 m²- Pisos: 5° y 6° con ascensor directo independiente -Ambientes: 5° piso: 3 amplios dormitorios, cada uno con baño privado y walk-ing closet, además de sala de estar. 6° piso: Terraza con piscina y zona de parrilla, elegante sala-comedor, cocina equipada, oficina, zona de lavandería, cuarto y baño de servicio. - Ascensores: 2 - Cámaras de seguridad en todo el inmueble. - Se aceptan mascotas. Condiciones: Alquiler: 2 meses de garantía + 1 mes de adelanto Requisitos: Estar bien en Infocorp disponible también para ventavive con lujo, comodidad y total privacidad en una de las zonas más exclusivas de Surco. Ideal para familias o ejecutivos que buscan un hogar moderno con amplias terrazas y piscina privada.",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 5 días
"S/ 4,600 · USD 1,340","Calle Francia al 700 Miraflores, Lima","Miraflores, Lima",22,98 m² tot.,,,Publicado hace 4 días,"Moderno y bien iluminado departamento ubicado en Calle Francia, Miraflores, a pocos minutos de la Bajada Balta, Av. Pardo, Malecón Cisneros, Parque Kennedy y una amplia oferta de restaurantes, cafés, supermercados y parques. Excelente ubicación para quienes buscan comodidad y conectividad. Distribución: Sala–comedor con iluminación naturalCocina abierta, funcional y bien equipadaBaño de visitasDormitorio principal con walk-in closet y baño incorporadoSegundo dormitorio con sofá cama y área de escritorioSegundo baño completoÁrea de lavandería independiente1 estacionamientoEdificio con seguridad 24/7. Mantenimiento aprox.: S/ 560 (incluye agua). Un departamento práctico y bien ubicado, ideal para quienes buscan vivir cerca del movimiento de Miraflores sin renunciar a la tranquilidad. mi3503",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 4 días
"S/ 3,000 S/ 200 Mantenimiento","Canevaro Lince Lince, Lima","Lince, Lima",20,92 m² tot.,,,Publicado hace 2 días,"Alquilo Departamento En Zona Súper Céntrica. Ubicado a un paso del Mall Salaverry y cerca de universidades como la upc y Universidad del Pacífico. Frente al Colegio Sophianum. Se encuentra en piso 08 con vista exterior a la ciudad. El Edificio con 2 ascensores y gas Cálidda. Viene Amoblado y equipado. Tiene Sala comedor con balcón terraza y vista a la ciudad. Cocina cerrada equipada con refrigeradora, microondas, cocina, Lavandería con lavadora, terma y pequeño almacén para guardar cosas. 03 dormitorios, El Principal con walk-in closet, baño incorporado y balcón pequeño. Los otros dos dormitorios secundarios uno con clóset, ambos comparten un baño, uno de los dormitorios es más pequeño. Seguridad 24/7 con cámaras de vigilancia. Posee un Área común con zona de parrilla en el piso 14 y cuenta con un mini gimnasio. No se aceptan mascotas",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 2 días
"S/ 4,200 · USD 1,200 S/ 370 Mantenimiento","Calle general vidal Miraflores Miraflores, Lima","Miraflores, Lima",38,100 m² tot.,,,Publicado hace 3 días,"Departamento de 100 m² ubicado en Miraflores, totalmente amoblado y equipado. Cuenta con dos habitaciones, un estudio y dos baños completos. La cocina es tipo americana y se integra con la sala-comedor, que destaca por su excelente iluminación natural. El dormitorio principal incluye baño incorporado y walk-in closet. El departamento posee una cochera y ofrece vista externa. El edificio cuenta con recepción y seguridad las 24 horas, además de áreas comunes como zona de parrillas y área para mascotas. Se permiten perros pequeños y gatos. Modalidad de contrato: 2x1 (dos meses de garantía y un mes de adelanto). Contrato mínimo de un año.",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 3 días
"S/ 1,800 S/ 170 Mantenimiento","EL Cerezo La Calera, Surquillo","La Calera, Surquillo",12,35 m² tot.,,,Publicado hace 2 días,"Departamento de 35m2 en Surquillo, primer piso1800 soles alquilerSala-comedor, cocina abierta, baño completo y dormitorio. Alquiler incluye lavadora2x1mantenimiento 170 solesEl precio publicado en soles es referencial y puede variar según el tipo de cambio vigente al momento de la transacción.",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 2 días
"S/ 2,600 · USD 650 S/ 200 Mantenimiento","Av. Almte. Miguel Grau 1438. Barranco, Lima","Barranco, Lima",18,60 m² tot.,,,Publicado hace 4 días,"Ubicación. Av. Almte. Miguel Grau 1438, Barranco. Zona céntrica, turística y muy solicitada. A minutos del Malecón de Barranco, restaurantes, cafés y galerías. Características del departamento. 60 m² Piso 1. 1 dormitorio. 1 cama Queen. 1 baño completo. Totalmente amoblado. Departamento equipado (línea blanca + menaje esencial) Cortinas instaladas. Terraza privada. Zona de trabajo / escritorio (ideal para home office) WiFi / Internet. tv. Características del edificio. Portería y seguridad 24/7. Ingreso con cerradura inteligente. áreas comunes: Piscina. Zona de parrilla. Área de karaoke. Co-working. Condiciones de alquiler. 2 x 1 (2 meses de garantía + 1 mes de adelanto)",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 4 días
"S/ 4,381 · USD 1,300","Garcilazo de la Vega al 2500 San Isidro, Lima","San Isidro, Lima",27,147 m² tot.,,,Publicado hace 7 días,"¡Amplio y acogedor departamento tipo casa en alquiler! Ubicado en una de las zonas más prácticas y conectadas de San Isidro (límite con Lince), a pasos del Parque Castilla, cafés, restaurantes, bancos, centros comerciales y con excelente acceso a vías principales. Con 147 m² en el primer nivel y área adicional en azotea destinada a lavandería, este departamento ofrece la amplitud y comodidad de una casa, sin pago de mantenimiento. Características del departamento: • Totalmente amoblado• Sala–comedor con pisos de madera• Cocina independiente• 2 dormitorios amplios• Dormitorio principal con baño incorporado• Segundo dormitorio cómodo• Tercer ambiente ideal como dormitorio adicional o oficina• 1 baño completo adicional• Ventanas antirruido• Zona de lavandería en la azotea• Antigüedad: 30 años muy bien conservado• Sin cochera, con opción de estacionar en la puertaLa zona: A solo pasos del Parque Castilla, rodeado de áreas verdes, cafés, restaurantes, comercios y todo lo necesario para vivir con tranquilidad y excelente conectividad. Un espacio ideal para quienes buscan vivir en una zona clásica de San Isidro, con ambientes amplios y bien iluminados. si1258",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 7 días
"S/ 2,900 · USD 850 S/ 190 Mantenimiento","Av. Javier Prado 1091 Santa Catalina, La Victoria","Santa Catalina, La Victoria",15,70 m² tot.,,,Publicado desde ayer,"De Estreno - Ubicación céntrica - Vista externa - Piso 3 - Áreas comunes topAmoblado | A pocos minutos de San Isidro | Plaza Santa CatalinaCaracterísticas del departamento: • Sala y comedor con vista externa / balcón• Cocina americana• Lavandería• Dormitorio principal con closet empotrado, baño y balcón• 1 Dormitorio secundario con closet• 1 Dormitorio secundario con closet, cama 2 plazas• Baño completo de visita• Gas naturalCaracterísticas del edificio: • Sala sum, área de parrilla, sala de juegos y co-working, • Piscina, terraza con parrilla y gimnasio• Pet spa, sala de niños y zona de bicicletas• 31 pisos• 5 ascensoresCaracterísticas de la zona: • A espaldas de Plaza Santa Calina y a pocos minutos de la Rambla• Ubicado en plena Av. Javier Prado• Ubicado cerca a San Isidro Financiero• Fácil acceso a San Borja, Vía ExpresaMantenimiento: S/. 190",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado desde ayer
